tweets
"b""I 'm Chick-fil-A Winchester , VA"""
"b'Birthday Dinner Number Two ( @ Rasika Washington , DC )'"
"b'Black Panther Birthday . ( @ Landmark Atlantic Plumbing Cinema Black Panther Washington , DC )'"
"b'Birthday Dinner Number One ( Washington , DC )'"
"b'Getting My Birthday Cupcakes ( @ Georgetown Cupcake - Washington , DC )'"
"b'Dinner boys ( _Osteria Washington DC , DC )'"
"b""I 'm . Washington , DC"""
"b'Taking Stiches Out ( @ WHC Physicians Office Building Washington , DC )'"
"b'Dinner Bruce ( Washington , DC )'"
"b'Dinner Bruce ( Washington , DC )'"
"b'Love My Creative Neighbor ( @ The Gayborhood Washington , DC )'"
"b""I 'm The Palisades Bethesda Bethesda , MD"""
"b""I 'm _Osteria Washington DC , DC"""
b'Surgery Time . Should Be Back Home By The Afternoon Medicated And Resting ( @ MedStar Washington Hospital Center -'
"b""I 'm Washington , DC"""
"b'Dinner Bruce ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Dinner Bruce ( Washington , DC )'"
"b'Yum ! ( @ Georgetown Cupcake - Washington , DC )'"
"b'Dinner Bruce ( Washington , DC )'"
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b'Birthday Dinner For Bruce ( Washington , DC )'"
"b""Gay Men 's Chorus ( @ The Lincoln Theatre - Washington , DC )"""
"b'Dinner Bruce ( @ Baan Thai / Tsunami Sushi Washington , DC )'"
"b'Out With The Boys ( Washington , DC )'"
"b'This help get holiday blues ( @ Georgetown Cupcake - Washington , DC )'"
"b'Dinner With Bruce . Our Kitchen Is Being Renovated . ( @ Succotash Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Dinner With Bruce Kyle . ( _Osteria 14th Washington DC , DC )'"
"b'Having Drinks With Bruce ( Washington , DC )'"
"b""I 'm Washington , DC"""
"b""Let 's Eat ! ( @ Centrolina Washington , D.C . )"""
"b'Cocktails boys ( @ Fig & amp ; Olive D.C. Washington , DC )'"
"b""I 'm High Heel Race Washington , DC"""
"b""I 'm Washington , DC"""
"b'Wow . Have years . ( @ Shepherdstown , West Virginia WV )'"
"b""I 'm All About The Pies ( @ Virginia Farm Market Winchester , VA )"""
"b'Dinner Bruce ( @ Al Crostino Washington , D.C . )'"
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Medstar Lafayette Center Washington , D.C ."""
"b""I 'm Beau Thai Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b'Having Dinner With Bruce . Busy Night Up In Here . ( Washington , DC )'"
"b'Dinner With Bruce ( _Osteria 14th Washington DC , DC )'"
"b'Beautiful Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""Hanging With The Boys ( @ Honey 's Farm Fresh Lewes , DE )"""
"b'Hanging Boys ( @ The Pig Publican Lewes , DE )'"
"b""I 'm Lewes , Delaware DE"""
"b'Hanging With My Homeboys ( Washington , DC )'"
"b'My Favorite Italian Restaurant . ( @ Al Crostino Washington , D.C . )'"
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b'Searching For The Eclipse . ( @ Oxford , NC NC )'"
"b'Searching For The Eclipse . ( @ Oxford , NC NC )'"
b'Sun Is Shining And The Pool Is Chilled . Fabulous Day ( @ Washington Plaza Hotel Pool )'
"b'Pool Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Rice Washington , DC"""
"b""I 'm Tortino Restaurant Washington , DC"""
"b""I 'm TRADE Washington , D.C ."""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""Sitting Behind National 's Dugout . Go Nat 's ! ! ! ( @ Nationals Park - MIA vs WSH )"""
"b'Nice Breezy Day To Soak Up The Sun ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Iced Cookie My Favorite ( @ Firehook Bakery Washington , DC )'"
"b'My Favorite Place To Go For Over 14 Years ( @ cabana day spa Washington , D.C . )'"
"b'Home Renovation Begins ( _fei Rockville , MD )'"
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm . 14th Street Washington , DC"""
"b'My Summer Paradise ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Water Feels So Good . Wish You Were Here . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _Osteria 14th Washington DC , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Winding Down On Another Fabulous Pool Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Fireworks ( @ The Washington , DC )'"
"b'Happy Red White Blue ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _DC Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b'Wonderful Day To Be Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""Dine & amp ; Splash . Call hotel restaurant got price information . I 'll See You Poolside"""
"b'Beautiful Day To Be Poolside . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Time To Relax . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Medstar Lafayette Center Washington , D.C ."""
"b'Trying Something New ( @ BRICK LANE Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm _Osteria 14th Washington DC , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington , DC"""
"b'Pool Day . Membership Available . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Mmm . So Good . ( @ Al Crostino Washington , D.C . )'"
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b'My Summer Poolside Has Begun . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm _Osteria 14th Washington DC , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Steakhouse Washington , DC"""
"b""I 'm Merrifield Garden Center Falls Church , VA"""
"b""I 'm Beau Thai Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""Moody 's Party ( @ Town Danceboutique - Washington , DC )"""
"b""I 'm . 14th Street Washington , DC"""
"b""I 'm Medstar Lafayette Center Washington , D.C ."""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Rice Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm Washington Monument - Washington , DC"""
"b""I 'm Medstar Lafayette Center Washington , D.C ."""
"b""I 'm Medstar Lafayette Center Washington , D.C ."""
"b""I 'm washington hospital center radiology Washington , DC"""
"b""I 'm Al Crostino Washington , D.C ."""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b'Happy Hour ( @ Vieux Carre Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b'Washigton Plaza Hotel Pool People Happy Hour ( @ Baby Wale Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Celebrating My 50th Birthday ( @ The Source Washington , DC )'"
"b'Birthday Lunch Bruce ( _Browns Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""New 's Happening Place . ( @ Tiger Fork Washington , Dc )"""
"b""I 'm Beau Thai Washington , DC"""
"b""I 'm DC Bear Crue : Bear Happy Hour - Washington , DC"""
"b""I 'm GW Surgery Center Washington , DC"""
"b""I 'm & amp ; More Alexandria , VA"""
"b""I 'm _Osteria 14th Washington DC , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington Hospital Center MRI Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Landmark 's La La Land Washington , DC"""
"b""I 'm MedStar Washington Hospital Center - Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm TRADE Washington , D.C ."""
"b""I 'm _DC Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Al Crostino Washington , D.C ."""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm The Bird Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Rice Washington , DC"""
"b'Voting Time ( @ Metropolitan AME Church Washington , DC )'"
"b'Wow ! ( @ National Museum African American History Culture - Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Matchbox Vintage Pizza Bistro - Washington , DC"""
"b""I 'm Town Danceboutique - Washington , DC"""
"b""I 'm The Columbia Room - Washington , DC"""
"b""I 've many times . Yes 8 . I retired . ( @ High Heel Race Washington , DC )"""
"b""I 'm Washington , DC"""
"b""I 'm Charles Town , WV Charles Town , WV"""
"b'Apples , Pies Pumpkins Time . ( @ Virginia Farm Market Winchester , VA )'"
"b""I 'm Winery Delaplane , VA"""
"b""I 'm Washington , DC"""
"b'Sitting table The First Lady sat recently . ( @ RPM Italian Washington , DC )'"
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm GW MEDICAL FACULTY ASSOCIATES - Allergy & amp ; Sinus Washington , DC"""
"b""I 'm Al Crostino Washington , D.C ."""
"b'Home Resting . ( @ The Iowa Washington , DC )'"
"b""I 'm George Washington University Hospital Washington , DC"""
"b'Yes . My Weekend Has Started . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Beau Thai Washington , DC"""
"b'Little More Pool Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Squeezing In One More Day At The Pool . ( @ Washington Plaza Hotel Pool Washington , DC )'"
b'Hate To See This Oasis Come To An End . Another Great Summer Here At The Plaza .'
"b'Beautiful Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b'Milkshake time ( Washington , DC )'"
"b""I 'm National Museum Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Having fun sun ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm . 14th Street Washington , DC"""
"b'Dinner Bruce , John Paul . ( Washington , DC )'"
"b'This Is How I Handle The Heatwave . Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Sunday Suit . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Rice Washington , DC"""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Washington , DC"""
"b'Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'A Nice Dip In The Pool To Cool Down . : - ) ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""It 's On ! Pool Time . ( @ Washington Plaza Hotel Pool Washington , DC )"""
"b""I 'm Al Crostino Washington , D.C ."""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
"b'Pool Time . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Chill Time ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Hot Hot Hot ! ! ! Even The Eye Candy . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b""I 'm Baan Thai / Tsunami Sushi Washington , DC"""
"b""I 'm Washington , DC"""
"b""I 'm Georgetown Cupcake - Washington , DC"""
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b'Another Good Pool Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Another Good Pool Day ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""Sunday Fun Day . It 's On ! ( @ Washington Plaza Hotel Pool Washington , DC )"""
"b'Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Seeing DC raving . ( Washington , DC )'"
"b'Hey ... . Chill Time Poolside . ( @ Washington Plaza Hotel Pool Washington , DC )'"
b'Time To Lay Back And Enjoy . Water Feels Great . ( @ Washington Plaza Hotel Pool )'
"b'Fun In The Sun . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Poolside . Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'New Restaurant . ( @ Da Hong Pao Washington , DC )'"
"b""I 'm Lovely Nails Washington , DC"""
"b""I 'm Aqua Grill Rehoboth Beach , DE"""
"b""I 'm Agave Mexican Restaurant Lewes , DE"""
"b""I 'm Washington , DC"""
"b'Another Wonderful Day Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Gorgeous Day . Wish You Were Here : - ) ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b'Relaxing Poolside ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'This one hottest place hang . And pool also . ( @ Rooftop @ Mason & amp ; Rook Washington , DC )'"
"b""I 'm TRADE Washington , D.C ."""
"b""I 'm WHC Physicians Office Building Washington , DC"""
"b'Celebrating Juneteenth My Way . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington Plaza Hotel Pool Washington , DC"""
"b'Ahh ! ! ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Voting Time ( @ Metropolitan AME Church Washington , DC )'"
"b'Ahh ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'Wow . This nice place . ( @ Landmark Atlantic Plumbing Cinema X-Men : Apocalypse Washington , DC )'"
"b""I 'm Washington , DC"""
"b'At least pool feels good . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Beau Thai Washington , DC"""
"b""AC must working . I 'm sweating . Hope food worth . ( Washington , DC )"""
"b'Marching Bands around country . ( @ Logan Circle - Washington , DC )'"
"b'Show And Tell Time . Werq ! ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b'The Feels Wonderful . ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""I 'm Washington , DC"""
"b""I 'm Lovely Nails Washington , DC"""
"b'Getting My Tan On ( @ Washington Plaza Hotel Pool Washington , DC )'"
"b""This Is Where You Can Find Me All Summer . Hope To See You Poolside . Inquire About Membership . It 's So Worth It !"""
"b'Jungle Book ( @ Regal Cinemas Gallery Place 14 - The Jungle Book Washington , DC )'"
"b""I 'm _DC Washington , DC"""
"b'Bear Happy Hour ( @ Town Danceboutique - Washington , DC )'"
